date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
2/22/2025,26,West Ham,63,10,Leandro Trossard,off target,0.06,right,yes,right halfspace,normal pass,positional,Myles Lewis-Skelly,normal pass,Ethan Nwaneri,through ball over top,volley,0,1,very close,narrow,n/a,no,no,0,low,n/a,organized,6,no,no,532,
2/22/2025,26,West Ham,96,10,Benjamin White,off target,0.06,right,yes,left halfspace,normal pass,positional,Gabriel,normal pass,Martin Odegaard,through ball,normal,0,3,close,narrow,n/a,no,no,1,low,right,organized,9,no,no,532,playing with 10 men
2/26/2025,27,Nottingham Forest,10,4,Declan Rice,blocked,0.08,right,yes,left halfspace,dribble,positional,Gabriel,normal pass,Leandro Trossard,normal pass,normal,6,2,close,wide,Declan Rice,no,yes,1,mid,n/a,organized,7,no,no,532,
2/26/2025,27,Nottingham Forest,16,8,Declan Rice,deflected off target,0.03,right,yes,left,normal pass,positional,Gabriel,normal pass,Leandro Trossard,normal pass,normal,2,7,medium,straight,n/a,no,no,2,low,n/a,organized,7,no,no,532,
2/26/2025,27,Nottingham Forest,23,3,Riccardo Calafiori,off target,0.06,right,no,left,through ball,positional,Gabriel,normal pass,Leandro Trossard,through ball,finesse,3,4,close,narrow,Riccardo Calafiori,no,no,1,mid,n/a,organized,7,no,no,532,
2/26/2025,27,Nottingham Forest,41,8,Ethan Nwaneri,deflected off target,0.11,left,yes,left,dribble,positional,Jorginho,normal pass,Riccardo Calafiori,normal pass,normal,2,4,very close,narrow,Ethan Nwaneri,no,yes,0,low,n/a,organized,6,no,no,532,
2/26/2025,27,Nottingham Forest,51,n/a,Mikel Merino,saved,0.21,head,no,left corner,set piece,set piece,n/a,n/a,Declan Rice,corner,header,0,1,very close,wide,n/a,no,no,1,low,n/a,organized,10,no,no,532,
2/26/2025,27,Nottingham Forest,55,n/a,Kieran Tierney,off target,0.54,head,no,right corner,set piece,set piece,n/a,n/a,Martin Odegaard,corner,header,0,1,very close,straight,n/a,no,yes,1,low,n/a,organized,10,no,no,532,
2/26/2025,27,Nottingham Forest,79,n/a,Mikel Merino,blocked,0.04,head,no,left corner,set piece,set piece,n/a,n/a,Declan Rice,corner,header,0,1,very close,narrow,n/a,no,yes,2,low,n/a,organized,10,no,no,532,
3/9/2025,28,Manchester United,10,5,Mikel Merino,off target,0.1,left,yes,middle,dribble,positional,Declan Rice,normal pass,Martin Odegaard,normal pass,normal,2,2,close,straight,n/a,yes,yes,2,mid,n/a,organized,8,no,no,532,
3/9/2025,28,Manchester United,20,2,Martin Odegaard,saved,0.03,left,yes,middle,normal pass,positional,Riccardo Calafiori,normal pass,Thomas Partey,normal pass,normal,2,5,medium,straight,n/a,no,yes,2,mid,n/a,organized,3,no,no,532,left wide open in the midfield
3/9/2025,28,Manchester United,32,2,Leandro Trossard,off target,0.04,right,yes,right halfspace,normal pass,positional,Riccardo Calafiori,normal pass,Gabriel,normal pass,normal,1,7,medium,straight,n/a,no,yes,2,mid,n/a,organized,2,no,no,532,
